RESPNO Urban/Rural "Views on Country's Economic Condition" "Discuss Politics?" Voted? Corruption Education
1 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
2 Urban "Fairly Good" Occasionally "You voted in the elections" "Stayed the same" "Secondary school / high school completed" 
3 Urban "Very bad" Never "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
4 Urban "Fairly Good" Never "You were not registered to vote" "Increased a lot" "Primary school completed" 
5 Urban "Very bad" Frequently "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
6 Urban "Fairly Good" Occasionally "You were too young to vote" "Decreased somewhat" "Secondary school / high school completed" 
7 Urban "Fairly Good" Never "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
8 Urban "Fairly Good" Never "You were not registered to vote" "Increased somewhat" "Some secondary school / high school" 
9 Urban "Very bad" Never "You voted in the elections" "Increased a lot" "Some primary schooling" 
10 Urban "Fairly bad" Never "You voted in the elections" "Decreased a lot" "Secondary school / high school completed" 
11 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
12 Urban "Fairly bad" Frequently "You were not registered to vote" "Increased somewhat" "Some secondary school / high school" 
13 Urban "Very bad" Frequently "You voted in the elections" "Increased a lot" "Some university" 
14 Urban "Fairly bad" Frequently "You decided not to vote" "Increased a lot" "Post-secondary qualifications, other than university" 
15 Urban "Very bad" Frequently "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
16 Urban "Neither good nor bad" Never "Did not vote for some other reason" "Increased somewhat" "Secondary school / high school completed" 
17 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
18 Urban "Very bad" Never "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
19 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Primary school completed" 
20 Urban "Very good" Frequently "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
21 Urban "Very bad" Frequently "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
22 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
23 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
24 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Some primary schooling" 
25 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased somewhat" "No formal schooling" 
26 Urban "Fairly Good" Occasionally "Did not vote for some other reason" "Stayed the same" "Inside the house"       
27 Urban "Very bad" Frequently "Did not vote for some other reason" "Increased a lot" "Some university" 
28 Urban "Neither good nor bad" Never "You decided not to vote" "Increased somewhat" "Post-secondary qualifications, other than university" 
29 Urban "Neither good nor bad" Frequently "You were not registered to vote" "Increased a lot" "Secondary school / high school completed" 
30 Urban "Very bad" Never "You decided not to vote" "Increased a lot" "Post-secondary qualifications, other than university" 
31 Urban "Fairly Good" Occasionally "You were too young to vote" "Increased somewhat" "Secondary school / high school completed" 
32 Urban "Fairly bad" Occasionally "You were too young to vote" "Increased a lot" "University completed" 
33 Urban "Fairly bad" Frequently "You were too young to vote" "Increased somewhat" "No formal schooling" 
34 Urban "Fairly Good" Never "You voted in the elections" "Stayed the same" "Some primary schooling" 
35 Urban "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
36 Urban "Very bad" Occasionally "You voted in the elections" "Stayed the same" "Primary school completed" 
37 Urban "Fairly bad" Occasionally "You voted in the elections" "Decreased somewhat" "Post-secondary qualifications, other than university" 
38 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
39 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
40 Urban "Very bad" Frequently "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
41 Urban "Neither good nor bad" Never "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
42 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "University completed" 
43 Urban "Fairly bad" Never "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
44 Urban "Fairly Good" Occasionally "You decided not to vote" "Decreased somewhat" "Secondary school / high school completed" 
45 Urban "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
46 Urban "Very bad" Occasionally "Did not vote for some other reason" "Increased a lot" "Secondary school / high school completed" 
47 Urban "Fairly bad" Occasionally "You voted in the elections" "Stayed the same" "Secondary school / high school completed" 
48 Urban "Fairly Good" Never "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
49 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Primary school completed" 
50 Urban "Very bad" Never "You were not registered to vote" "Increased a lot" "Secondary school / high school completed" 
51 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
52 Urban "Neither good nor bad" Frequently "You voted in the elections" "Decreased somewhat" "Some secondary school / high school" 
53 Urban "Fairly Good" Frequently "Did not vote for some other reason" "Increased a lot" "Some secondary school / high school" 
54 Urban "Fairly bad" Never "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
55 Urban "Very good" Never "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
56 Urban "Fairly bad" Frequently "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
57 Urban "Fairly Good" Never "You were not registered to vote" "Stayed the same" "Some secondary school / high school" 
